Expenses,Amount Spent
Hamilton Move & Storage,22.64
Whole Foods,-983.0101
Restaurant - Burgers,-929.87006
Restaurant - Chinese,-908.17
Ice Skating Rink,-3097.65
Fisker Night Club,-3521.1506
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,34.97
Gas & Electric,-576.0
Best Western Hotel,12.95
Green Flash Brewery,-3525.01
ACS - Student Loans,-2430.0
Jerome's Furniture,118.42
Owl Night Club,-3420.9
Von's Groceries,-775.08997
Cancun Beach Resort,32.03

User Id : 75258,
Amazon Order - Paint Bushes,-4262.531
Guitar Center,-4162.2505
Ralph's Grocery Store,-1236.81
Music Lessons - Piano,-4626.9194
Starbucks Coffee,-1619.2498
Taxi,-2442.2004
FedEx Shipping,32.61
Lyft,-2798.9302
Amazon Order - Baby Crib,5.08
Home Depot,38.94
Ashley's Craft Store,-3927.6594
Public Transportation - Bus Pass,-2162.7603
Sprouts Market,-1355.9099
Restaurant - Pizza,-1035.9601
Wedding Planner,26.8
Babies "R" Us,78.73
Uber,-2200.4302
Time Warner Cable,-450.0
Southwest Flights - Cancun,33.99
Paycheck,35931.0
Housing Rent,-18962.0
Kay Jewelry,23.14
Hospital - Prenatal Care,6.76
Refrigerator Depot,27.14
Michael's Crafts,-4207.53
Food Delivery - GrubHub,-1531.5602
Art's Art Supplies,-3867.6504
Mark's Movers,6.08
Restaurant - Steakhouse,-976.47003
Public Transportation - Train Pass,-2261.4795
Hamilton Move & Storage,89.33
Whole Foods,-1443.9202
Restaurant - Burgers,-1119.01
Restaurant - Chinese,-906.5299
BuyBuyBaby.com,17.53
Amazon Order - Paint Canvas,-4525.249
ACS - Student Loans,-2430.0
Jerome's Furniture,22.53
Art Auction,-3982.5598
Painting Course Fees,-5041.089
Von's Groceries,-1098.2
Cancun Beach Resort,17.58

User Id : 3028,
Ralph's Grocery Store,-1225.5199
Comfort Inn,66.46
NBA Ticket - Lakers,-4512.2603
Water & Sewer,-954.0
Starbucks Coffee,-963.46985
Taxi,-3047.09
FedEx Shipping,32.58
Lyft,-2993.4502
Amazon Order - Baby Crib,26.67
Home Depot,21.07
Divorce Lawyer Fees,58.97
Dick's Sporting Goods,-3794.9795
Athletic Apparel,-4023.1904
Public Transportation - Bus Pass,-3074.1104
Restaurant - Pizza,-1044.1799
Sprouts Market,-1727.4698
Wedding Planner,13.48
Babies "R" Us,36.15
Uber,-2332.5198
Amazon Order - Athletic Equipment,-3985.2188
Southwest Flights - Cancun,11.77
Paycheck,13939.0
Housing Rent,-19340.0
Kay Jewelry,87.08
Hospital - Prenatal Care,28.53
GNC,-3395.1704
Bike Rental,-3317.0496
Refrigerator Depot,32.56
Vitamin Shoppe,-3766.519
Food Delivery - GrubHub,-1274.74
Mark's Movers,28.47
Restaurant - Steakhouse,-1335.87
Public Transportation - Train Pass,-2564.4905
Hamilton Move & Storage,35.54
Whole Foods,-869.63
Restaurant - Burgers,-953.89984
Restaurant - Chinese,-1078.85
Total Gym Fees,-4679.9897
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,44.82
NFL Ticket - Chargers,-4360.46
Best Western Hotel,46.98
Sam's Sporting Apparel,-3921.54
ACS - Student Loans,-2430.0
Jerome's Furniture,36.83
Netflix Subscription,-89.81998
Von's Groceries,-1063.1902
Cancun Beach Resort,17.18

User Id : 52889,
Credit Card Overdraft Fee,-801.37994
Ralph's Grocery Store,-1394.3301
Starbucks Coffee,-1856.2499
Water & Sewer,-954.0
Taxi,-2376.0093
FedEx Shipping,6.79
Housing Rent - Late Fee,-423.00003
Lyft,-2174.8696
Amazon Order - Baby Crib,106.58
Home Depot,28.96
Goods2 - ThinkGeek,-2559.8801
Public Transportation - Bus Pass,-1903.3503
Amazon Order - Biology Book,-2080.05
Sprouts Market,-1883.2894
Restaurant - Pizza,-1545.75
Wedding Planner,103.8
Babies "R" Us,33.83
Uber,-2740.2605
Time Warner Cable,-450.0
Southwest Flights - Cancun,4.65
Bank Fee - Negative Balance,-703.44
Paycheck,67700.0
Housing Rent,-19578.0
Kay Jewelry,37.6
Hospital - Prenatal Care,11.4
Refrigerator Depot,15.21
DVD - Star Trek,-2758.77
Amazon Order - Star Wars Figurine,-2318.3901
Coffee,-1976.3499
Food Delivery - GrubHub,-1404.3801
Time Warne Cable - Late Payment Fee,-235.9
Mark's Movers,108.49
Restaurant - Steakhouse,-1239.8098
Public Transportation - Train Pass,-2731.6099
Hamilton Move & Storage,0.13
Science Museum,-2070.3403
Whole Foods,-1001.37994
Art Museum,-2250.26
Restaurant - Burgers,-1406.4999
Mary's Book Store,-2721.7004
Amazon Order - Science Book,-2703.74
Restaurant - Chinese,-1394.5101
Water & Sewer - Late Payment Penalty,-600.18005
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,11.41
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Video Game - PlayStation,-2171.1997
Jerome's Furniture,18.44
Amazon Order - Mathematics Book,-2062.3396
Online Education Courses,-1798.4398
San Diego Museum,-2197.5696
Netflix Subscription,-89.81998
Von's Groceries,-1790.7502
Library Membership,-2650.6697
Cancun Beach Resort,87.21

User Id : 85770,
Amazon Order - Paint Bushes,-4717.06
Guitar Center,-4082.8604
Ralph's Grocery Store,-1250.0901
Music Lessons - Piano,-4220.6704
Starbucks Coffee,-940.7799
Water & Sewer,-954.0
Taxi,-2604.85
Lyft,-2295.0198
Ashley's Craft Store,-4042.67
Public Transportation - Bus Pass,-1945.0894
Sprouts Market,-1305.96
Restaurant - Pizza,-951.72003
Uber,-1872.6
Time Warner Cable,-450.0
Paycheck,83220.0
Housing Rent,-19719.0
Michael's Crafts,-3806.39
Food Delivery - GrubHub,-1030.5201
Art's Art Supplies,-3850.43
Restaurant - Steakhouse,-1039.62
Public Transportation - Train Pass,-2594.66
Whole Foods,-1116.3201
Restaurant - Burgers,-1229.22
Restaurant - Chinese,-1240.5302
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
Amazon Order - Paint Canvas,-4523.3306
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Art Auction,-4300.8306
Painting Course Fees,-3994.389
Netflix Subscription,-89.81998
Von's Groceries,-995.2099

User Id : 5349,
Ralph's Grocery Store,-902.9799
Starbucks Coffee,-1048.09
Water & Sewer,-954.0
Taxi,-2255.1904
FedEx Shipping,29.12
Lyft,-1869.94
Amazon Order - Baby Crib,37.29
Home Depot,7.01
Goods2 - ThinkGeek,-2249.29
Public Transportation - Bus Pass,-1820.25
Amazon Order - Biology Book,-2021.6301
Babies "R" Us,98.02
Sprouts Market,-1402.9702
Restaurant - Pizza,-1175.9401
Wedding Planner,16.83
Uber,-2163.7502
Time Warner Cable,-450.0
Southwest Flights - Cancun,35.04
Housing Rent,-17338.0
Kay Jewelry,17.38
Paycheck,45816.0
Hospital - Prenatal Care,20.65
Refrigerator Depot,32.7
DVD - Star Trek,-3139.0293
Amazon Order - Star Wars Figurine,-2848.5996
Coffee,-2540.9602
Food Delivery - GrubHub,-1140.11
Mark's Movers,18.74
Restaurant - Steakhouse,-1133.9897
Public Transportation - Train Pass,-2362.8896
Hamilton Move & Storage,29.15
Science Museum,-2865.89
Whole Foods,-1527.4299
Art Museum,-2798.8894
Mary's Book Store,-2245.9697
Restaurant - Burgers,-929.62006
Amazon Order - Science Book,-2315.8599
Restaurant - Chinese,-1357.9098
BuyBuyBaby.com,27.16
Navient - Student Loans,-3546.0
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Video Game - PlayStation,-2319.6902
Jerome's Furniture,22.37
Amazon Order - Mathematics Book,-2556.0896
Online Education Courses,-3190.3293
San Diego Museum,-3224.2698
Von's Groceries,-1264.2699
Library Membership,-2318.7505
Cancun Beach Resort,46.42

User Id : 4567,
Ralph's Grocery Store,-1133.0499
Comfort Inn,110.79
NBA Ticket - Lakers,-4072.011
Starbucks Coffee,-1437.5302
Water & Sewer,-954.0
Taxi,-2226.9395
Lyft,-2526.1401
Divorce Lawyer Fees,38.5
Dick's Sporting Goods,-4188.799
Athletic Apparel,-3482.2402
Public Transportation - Bus Pass,-2558.6597
Sprouts Market,-1026.88
Restaurant - Pizza,-957.7001
Wedding Planner,36.18
Uber,-2426.4995
Amazon Order - Athletic Equipment,-4539.4507
Time Warner Cable,-450.0
Southwest Flights - Cancun,24.17
Paycheck,87620.0
Housing Rent,-18989.0
Kay Jewelry,98.33
GNC,-4033.04
Bike Rental,-4114.66
Vitamin Shoppe,-4120.06
Food Delivery - GrubHub,-1120.38
Restaurant - Steakhouse,-1286.8198
Public Transportation - Train Pass,-2693.82
Whole Foods,-1448.1501
Restaurant - Burgers,-905.25
Restaurant - Chinese,-785.49005
Total Gym Fees,-3576.1787
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
Gas & Electric,-576.0
NFL Ticket - Chargers,-4945.34
Best Western Hotel,13.96
Sam's Sporting Apparel,-3522.5
ACS - Student Loans,-2430.0
Netflix Subscription,-89.81998
Von's Groceries,-1001.95013
Cancun Beach Resort,8.19

User Id : 55836,
Amazon Order - Paint Bushes,-3155.1597
Guitar Center,-1991.2601
Credit Card Overdraft Fee,-1389.13
Ralph's Grocery Store,-1150.9
Music Lessons - Piano,-3697.221
Starbucks Coffee,-1435.4102
Taxi,-2501.0503
FedEx Shipping,46.59
Housing Rent - Late Fee,-729.5599
Lyft,-2549.0493
Amazon Order - Baby Crib,3.05
Home Depot,9.98
Ashley's Craft Store,-3357.1506
Public Transportation - Bus Pass,-2210.7095
Sprouts Market,-1511.7098
Restaurant - Pizza,-1629.8501
Babies "R" Us,13.86
Uber,-2002.2802
Time Warner Cable,-450.0
Housing Rent,-19198.0
Paycheck,81747.0
Bank Fee - Negative Balance,-438.76
Hospital - Prenatal Care,9.47
Refrigerator Depot,29.8
Michael's Crafts,-4077.5593
Food Delivery - GrubHub,-1431.8599
Art's Art Supplies,-3471.9
Time Warne Cable - Late Payment Fee,-509.94003
Mark's Movers,33.31
Restaurant - Steakhouse,-838.12
Public Transportation - Train Pass,-2191.2197
Hamilton Move & Storage,37.02
Whole Foods,-1341.5599
Restaurant - Burgers,-1249.7699
Restaurant - Chinese,-1330.6102
Water & Sewer - Late Payment Penalty,-685.47003
BuyBuyBaby.com,8.71
Amazon Order - Paint Canvas,-3510.4893
Gas & Electric,-576.0
Jerome's Furniture,46.25
Art Auction,-3946.3596
Painting Course Fees,-3708.1206
Von's Groceries,-1109.2101

User Id : 39379,
Podcast Subscription,-3206.2
Ralph's Grocery Store,-1325.45
Red Box DVD Rental,-4799.6807
PlayStation Membership,-3222.4707
Starbucks Coffee,-1409.22
Water & Sewer,-954.0
Taxi,-1965.0898
FedEx Shipping,28.19
Lyft,-2609.8203
Amazon Order - Baby Crib,8.38
On Demand Movie,-4010.0498
Home Depot,37.08
Pet Smart,-3578.0703
Pet Supply - Cat Food,-3678.5996
Public Transportation - Bus Pass,-2664.6995
Sprouts Market,-1519.4801
Restaurant - Pizza,-803.14014
Babies "R" Us,33.17
Wedding Planner,49.03
Uber,-2587.7603
Wine Delivery,-3917.25
Time Warner Cable,-450.0
Southwest Flights - Cancun,10.67
Paycheck,60380.0
Housing Rent,-18914.0
Kay Jewelry,15.83
Hospital - Prenatal Care,0.03
Refrigerator Depot,33.63
Food Delivery - Uber Eats,-3974.9695
Food Delivery - GrubHub,-4639.5503
Mark's Movers,35.28
Restaurant - Steakhouse,-1079.4298
Public Transportation - Train Pass,-1537.6503
Hamilton Move & Storage,28.74
Whole Foods,-1579.5502
Restaurant - Burgers,-1537.5498
Restaurant - Chinese,-854.67
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,1.04
On Demand TV,-4099.7197
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Jerome's Furniture,25.38
Von's Groceries,-1236.9601
Cancun Beach Resort,23.21

User Id : 31277,
Credit Card Overdraft Fee,-1428.3701
Ralph's Grocery Store,-1231.9199
Comfort Inn,21.22
NBA Ticket - Lakers,-3683.0002
Starbucks Coffee,-971.65
Water & Sewer,-954.0
Taxi,-2351.2295
FedEx Shipping,39.4
Housing Rent - Late Fee,-460.93005
Lyft,-2159.3901
Amazon Order - Baby Crib,21.05
Home Depot,12.84
Divorce Lawyer Fees,14.2
Dick's Sporting Goods,-3834.5303
Athletic Apparel,-3837.201
Public Transportation - Bus Pass,-2204.5996
Sprouts Market,-799.7801
Restaurant - Pizza,-1109.1398
Wedding Planner,0.14
Babies "R" Us,71.88
Uber,-2702.2903
Amazon Order - Athletic Equipment,-3529.0496
Time Warner Cable,-450.0
Southwest Flights - Cancun,29.79
Bank Fee - Negative Balance,-896.61005
Housing Rent,-19378.0
Paycheck,46062.0
Kay Jewelry,7.97
Hospital - Prenatal Care,4.11
Bike Rental,-3383.4507
GNC,-3230.2085
Refrigerator Depot,33.2
Food Delivery - GrubHub,-1192.37
Vitamin Shoppe,-3780.6306
Time Warne Cable - Late Payment Fee,-812.35
Mark's Movers,22.52
Restaurant - Steakhouse,-1238.2401
Public Transportation - Train Pass,-2801.499
Hamilton Move & Storage,28.03
Whole Foods,-945.4799
Restaurant - Burgers,-1063.1698
Restaurant - Chinese,-1304.5303
Water & Sewer - Late Payment Penalty,-475.4
Total Gym Fees,-3219.4006
Navient - Student Loans,-3546.0
BuyBuyBaby.com,16.65
NFL Ticket - Chargers,-4324.4897
Best Western Hotel,24.81
Sam's Sporting Apparel,-3669.4807
ACS - Student Loans,-2430.0
Jerome's Furniture,28.12
Von's Groceries,-1214.81
Cancun Beach Resort,33.87

User Id : 44119,
Ralph's Grocery Store,-1360.6399
Comfort Inn,15.61
NBA Ticket - Lakers,-4542.03
Water & Sewer,-954.0
Starbucks Coffee,-1070.24
Taxi,-1488.8799
FedEx Shipping,93.81
Lyft,-2748.62
Amazon Order - Baby Crib,21.8
Home Depot,37.86
Divorce Lawyer Fees,20.37
Dick's Sporting Goods,-3059.34
Athletic Apparel,-3985.4297
Public Transportation - Bus Pass,-3155.8496
Sprouts Market,-1191.57
Restaurant - Pizza,-1208.12
Babies "R" Us,14.91
Wedding Planner,36.86
Amazon Order - Athletic Equipment,-4057.52
Uber,-2498.25
Time Warner Cable,-450.0
Southwest Flights - Cancun,16.01
Paycheck,59200.0
Housing Rent,-18908.0
Kay Jewelry,39.8
Hospital - Prenatal Care,12.9
Bike Rental,-3921.7202
GNC,-3681.9795
Refrigerator Depot,23.51
Vitamin Shoppe,-3790.7698
Food Delivery - GrubHub,-1325.4999
Mark's Movers,50.76
Restaurant - Steakhouse,-632.25995
Public Transportation - Train Pass,-2643.5403
Hamilton Move & Storage,35.49
Whole Foods,-1143.9199
Restaurant - Burgers,-1659.1102
Restaurant - Chinese,-1080.0902
Total Gym Fees,-3711.1003
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,34.96
Gas & Electric,-576.0
NFL Ticket - Chargers,-3299.0298
Best Western Hotel,10.72
Sam's Sporting Apparel,-3816.4402
Jerome's Furniture,39.23
Netflix Subscription,-89.81998
Von's Groceries,-1203.23
Cancun Beach Resort,2.39

User Id : 67812,
Ralph's Grocery Store,-597.88
Starbucks Coffee,-842.55
Water & Sewer,-954.0
Taxi,-2288.3398
Lyft,-2368.6501
Amazon Order - Baby Crib,10.48
Goods2 - ThinkGeek,-2319.4602
Public Transportation - Bus Pass,-2243.4001
Amazon Order - Biology Book,-2798.8704
Restaurant - Pizza,-1077.4398
Sprouts Market,-1465.2002
Babies "R" Us,7.74
Uber,-2673.89
Time Warner Cable,-450.0
Paycheck,81600.0
Housing Rent,-19178.0
Hospital - Prenatal Care,37.39
DVD - Star Trek,-2660.6804
Amazon Order - Star Wars Figurine,-2460.9004
Coffee,-2962.48
Food Delivery - GrubHub,-1266.4498
Restaurant - Steakhouse,-1000.49005
Public Transportation - Train Pass,-2663.8303
Science Museum,-2596.83
Whole Foods,-825.11993
Art Museum,-2447.5894
Mary's Book Store,-2496.98
Restaurant - Burgers,-1206.7499
Amazon Order - Science Book,-2795.3696
Restaurant - Chinese,-934.7999
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,22.09
ACS - Student Loans,-2430.0
Video Game - PlayStation,-2216.0002
Amazon Order - Mathematics Book,-2784.61
Online Education Courses,-2079.0005
San Diego Museum,-3389.3792
Von's Groceries,-1472.73
Library Membership,-2825.4004

User Id : 18908,
Podcast Subscription,-3577.54
Credit Card Overdraft Fee,-1172.4098
Ralph's Grocery Store,-1275.03
Red Box DVD Rental,-2344.9998
PlayStation Membership,-2747.8203
Starbucks Coffee,-1475.2902
Water & Sewer,-954.0
FedEx Shipping,45.62
Taxi,-2939.239
Housing Rent - Late Fee,-609.42004
Lyft,-2904.5403
On Demand Movie,-2957.2703
Home Depot,5.85
Pet Smart,-2674.1301
Pet Supply - Cat Food,-3539.6904
Public Transportation - Bus Pass,-2068.92
Restaurant - Pizza,-2062.51
Sprouts Market,-1022.11993
Wedding Planner,33.6
Uber,-2075.23
Wine Delivery,-3065.8997
Southwest Flights - Cancun,20.38
Paycheck,35224.0
Housing Rent,-17814.0
Bank Fee - Negative Balance,-670.00995
Kay Jewelry,14.14
Refrigerator Depot,19.61
Food Delivery - Uber Eats,-3427.3794
Food Delivery - GrubHub,-4465.099
Mark's Movers,1.15
Time Warne Cable - Late Payment Fee,-443.41998
Restaurant - Steakhouse,-1098.89
Public Transportation - Train Pass,-2572.3599
Hamilton Move & Storage,0.47
Whole Foods,-1040.0399
Restaurant - Burgers,-1211.2001
Restaurant - Chinese,-1392.4299
Water & Sewer - Late Payment Penalty,-501.80997
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
On Demand TV,-4047.0405
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Jerome's Furniture,42.96
Netflix Subscription,-89.81998
Von's Groceries,-1102.8301
Cancun Beach Resort,1.36

User Id : 72019,
Podcast Subscription,-3190.41
Credit Card Overdraft Fee,-1061.4698
Ralph's Grocery Store,-1229.8301
Red Box DVD Rental,-3180.5396
PlayStation Membership,-3804.6497
Starbucks Coffee,-930.20984
Taxi,-2816.6104
FedEx Shipping,17.36
Housing Rent - Late Fee,-570.16003
Lyft,-2774.8306
Amazon Order - Baby Crib,98.08
On Demand Movie,-3473.8296
Home Depot,7.41
Pet Smart,-3710.4595
Public Transportation - Bus Pass,-2932.5598
Pet Supply - Cat Food,-4072.5203
Restaurant - Pizza,-963.33997
Sprouts Market,-894.75006
Babies "R" Us,31.74
Uber,-3284.9907
Wine Delivery,-2964.3801
Bank Fee - Negative Balance,-414.46997
Paycheck,9660.0
Housing Rent,-18474.0
Hospital - Prenatal Care,15.19
Refrigerator Depot,11.14
Food Delivery - Uber Eats,-3763.3103
Food Delivery - GrubHub,-4474.0903
Time Warne Cable - Late Payment Fee,-415.26
Mark's Movers,0.69
Restaurant - Steakhouse,-1257.92
Public Transportation - Train Pass,-2610.6296
Hamilton Move & Storage,29.28
Whole Foods,-1052.13
Restaurant - Burgers,-979.1
Restaurant - Chinese,-1244.9601
Water & Sewer - Late Payment Penalty,-354.53998
Credit Card Payment,-2772.0
BuyBuyBaby.com,18.95
On Demand TV,-2911.6392
Jerome's Furniture,10.52
Von's Groceries,-1035.6099

User Id : 43085,
Ralph's Grocery Store,-1728.2898
Starbucks Coffee,-1465.1398
Taxi,-2342.73
FedEx Shipping,36.71
Lyft,-2783.2395
Amazon Order - Baby Crib,1.7
Home Depot,25.73
Goods2 - ThinkGeek,-2891.08
Public Transportation - Bus Pass,-2904.4697
Amazon Order - Biology Book,-2729.1501
Restaurant - Pizza,-1289.4298
Sprouts Market,-895.69995
Wedding Planner,18.0
Babies "R" Us,9.49
Uber,-2578.3296
Time Warner Cable,-450.0
Southwest Flights - Cancun,13.32
Paycheck,28041.0
Housing Rent,-19391.0
Kay Jewelry,0.95
Hospital - Prenatal Care,38.16
Refrigerator Depot,47.7
DVD - Star Trek,-3630.6206
Amazon Order - Star Wars Figurine,-3023.4792
Food Delivery - GrubHub,-1385.59
Coffee,-2229.55
Mark's Movers,22.34
Restaurant - Steakhouse,-1026.42
Public Transportation - Train Pass,-2428.8403
Hamilton Move & Storage,3.05
Science Museum,-2163.0303
Whole Foods,-1326.0
Art Museum,-2514.96
Mary's Book Store,-3075.2605
Restaurant - Burgers,-918.4901
Amazon Order - Science Book,-2269.8804
Restaurant - Chinese,-1831.0797
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,5.08
Gas & Electric,-576.0
Video Game - PlayStation,-2535.7002
Jerome's Furniture,2.8
Amazon Order - Mathematics Book,-2418.0303
Online Education Courses,-2815.4404
San Diego Museum,-2520.71
Netflix Subscription,-89.81998
Von's Groceries,-1794.3503
Library Membership,-3165.8704
Cancun Beach Resort,39.69

User Id : 22696,
Ralph's Grocery Store,-1528.9501
Comfort Inn,117.19
NBA Ticket - Lakers,-2421.3298
Starbucks Coffee,-1185.6699
Taxi,-1947.5099
FedEx Shipping,107.12
Lyft,-2746.161
Home Depot,3.36
Divorce Lawyer Fees,100.15
Dick's Sporting Goods,-4196.6514
Athletic Apparel,-3597.1394
Public Transportation - Bus Pass,-2087.1003
Restaurant - Pizza,-957.05005
Sprouts Market,-1007.6599
Wedding Planner,14.56
Amazon Order - Athletic Equipment,-4125.27
Uber,-2341.0303
Southwest Flights - Cancun,28.34
Paycheck,11262.0
Housing Rent,-19138.0
Kay Jewelry,21.71
GNC,-4388.25
Bike Rental,-4377.58
Refrigerator Depot,5.43
Vitamin Shoppe,-3848.279
Food Delivery - GrubHub,-1134.1802
Mark's Movers,36.06
Restaurant - Steakhouse,-1117.9199
Public Transportation - Train Pass,-2454.6301
Hamilton Move & Storage,0.19
Whole Foods,-949.48
Restaurant - Burgers,-1322.44
Restaurant - Chinese,-1063.72
Total Gym Fees,-4209.8604
Credit Card Payment,-2772.0
NFL Ticket - Chargers,-4120.0903
Best Western Hotel,10.23
Sam's Sporting Apparel,-3881.8103
Jerome's Furniture,6.44
Von's Groceries,-1248.43
Cancun Beach Resort,31.43

User Id : 81829,
Credit Card Overdraft Fee,-1344.1702
Ralph's Grocery Store,-1341.0698
Starbucks Coffee,-1786.5901
Water & Sewer,-954.0
Taxi,-2772.6694
FedEx Shipping,67.39
Housing Rent - Late Fee,-440.37003
Lyft,-2899.29
Amazon Order - Baby Crib,4.84
Home Depot,5.42
Goods2 - ThinkGeek,-2669.8699
Public Transportation - Bus Pass,-2921.0596
Amazon Order - Biology Book,-2374.0703
Restaurant - Pizza,-1729.14
Sprouts Market,-1889.04
Babies "R" Us,55.38
Wedding Planner,92.89
Uber,-2524.39
Southwest Flights - Cancun,27.8
Paycheck,44684.0
Housing Rent,-18950.0
Bank Fee - Negative Balance,-726.78
Kay Jewelry,88.31
Hospital - Prenatal Care,14.37
Refrigerator Depot,36.08
DVD - Star Trek,-2739.8506
Amazon Order - Star Wars Figurine,-3201.92
Coffee,-2296.99
Food Delivery - GrubHub,-826.64
Time Warne Cable - Late Payment Fee,-548.07
Mark's Movers,14.18
Restaurant - Steakhouse,-1202.6399
Public Transportation - Train Pass,-1955.6702
Hamilton Move & Storage,19.94
Science Museum,-2594.5295
Whole Foods,-1026.3899
Art Museum,-2497.86
Restaurant - Burgers,-1322.93
Mary's Book Store,-2593.6191
Amazon Order - Science Book,-2946.9197
Restaurant - Chinese,-1677.3099
Water & Sewer - Late Payment Penalty,-694.53
Navient - Student Loans,-3546.0
BuyBuyBaby.com,9.91
Gas & Electric,-576.0
Video Game - PlayStation,-2305.0796
Jerome's Furniture,16.99
Amazon Order - Mathematics Book,-3200.009
Online Education Courses,-1887.6301
San Diego Museum,-2908.54
Von's Groceries,-1322.6099
Library Membership,-2810.2192
Cancun Beach Resort,33.25

User Id : 40087,
Ralph's Grocery Store,-1397.5599
Comfort Inn,28.81
Starbucks Coffee,-1031.63
Water & Sewer,-954.0
Taxi,-2797.8
FedEx Shipping,69.47
Lyft,-2212.69
Amazon Order - Baby Crib,13.52
Home Depot,20.97
Divorce Lawyer Fees,18.27
Bowling,-3499.3506
Public Transportation - Bus Pass,-1799.3702
John's Bar & Restaurant,-3685.4307
Sprouts Market,-892.9398
Restaurant - Pizza,-1364.72
Babies "R" Us,34.64
Wedding Planner,24.07
Uber,-2139.9
Wine Bar,-2947.4407
Time Warner Cable,-450.0
Southwest Flights - Cancun,3.38
Concert Ticket,-3733.1704
Housing Rent,-19449.0
Paycheck,24508.0
Kay Jewelry,4.99
Hospital - Prenatal Care,6.92
Karaoke Bar,-3436.9497
Seaside Bar,-3132.4995
Refrigerator Depot,29.9
Food Delivery - GrubHub,-1762.52
Mark's Movers,28.37
Restaurant - Steakhouse,-1093.3402
Rodriguez's Bar and Grill,-2820.0105
Public Transportation - Train Pass,-3355.3296
Movie Ticket,-2450.0305
Hamilton Move & Storage,22.91
Whole Foods,-1406.2799
Restaurant - Burgers,-1718.9601
Restaurant - Chinese,-1550.5199
Ice Skating Rink,-3419.6406
Fisker Night Club,-3222.8489
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,95.05
Gas & Electric,-576.0
Best Western Hotel,11.22
Green Flash Brewery,-2624.0303
ACS - Student Loans,-2430.0
Jerome's Furniture,16.48
Owl Night Club,-2855.2095
Netflix Subscription,-89.81998
Von's Groceries,-1547.2198
Cancun Beach Resort,10.21

User Id : 66483,
Amazon Order - Paint Bushes,-4176.09
Guitar Center,-3497.44
Ralph's Grocery Store,-1329.6396
Music Lessons - Piano,-3550.8499
Starbucks Coffee,-1353.0099
Water & Sewer,-954.0
Taxi,-2313.6104
Lyft,-1525.1703
Ashley's Craft Store,-4397.499
Public Transportation - Bus Pass,-2407.6897
Sprouts Market,-1658.71
Restaurant - Pizza,-1039.8301
Uber,-2022.5498
Time Warner Cable,-450.0
Paycheck,44880.0
Housing Rent,-18281.0
Michael's Crafts,-3418.3398
Food Delivery - GrubHub,-1304.9099
Art's Art Supplies,-4320.869
Restaurant - Steakhouse,-1313.6998
Public Transportation - Train Pass,-2341.99
Whole Foods,-522.88
Restaurant - Burgers,-1439.9802
Restaurant - Chinese,-1476.1401
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
Amazon Order - Paint Canvas,-3754.97
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Art Auction,-4220.6
Painting Course Fees,-3982.491
Netflix Subscription,-89.81998
Von's Groceries,-1669.9498

User Id : 99292,
Ralph's Grocery Store,-1023.3701
Comfort Inn,83.24
Starbucks Coffee,-1137.12
Taxi,-2119.59
Lyft,-2405.77
Amazon Order - Baby Crib,32.38
Divorce Lawyer Fees,29.35
Bowling,-2523.25
Public Transportation - Bus Pass,-3072.6304
John's Bar & Restaurant,-3947.4895
Restaurant - Pizza,-1098.5598
Sprouts Market,-884.62
Babies "R" Us,115.92
Uber,-2474.0796
Wine Bar,-2464.3303
Time Warner Cable,-450.0
Concert Ticket,-1920.0299
Paycheck,47918.0
Housing Rent,-19502.0
Hospital - Prenatal Care,19.05
Karaoke Bar,-2634.7107
Seaside Bar,-2552.3303
Food Delivery - GrubHub,-1063.7699
Restaurant - Steakhouse,-1349.3201
Rodriguez's Bar and Grill,-2708.74
Public Transportation - Train Pass,-2534.7
Movie Ticket,-3260.2603
Whole Foods,-1522.2101
Restaurant - Burgers,-1100.15
Restaurant - Chinese,-1409.3599
Ice Skating Rink,-2784.6108
Fisker Night Club,-3419.1006
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,20.66
Gas & Electric,-576.0
Best Western Hotel,16.5
Green Flash Brewery,-3067.8098
ACS - Student Loans,-2430.0
